X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
-76.966731402413,38.8763713558987,18095524,2018/06/13 01:22:45+00,MIDNIGHT,KNIFE,ASSAULT W/DANGEROUS WEAPON,2900 - 2943 BLOCK OF NELSON PLACE SE,402887,134282,7,7B,6,605,Cluster 34,007709 1,007709,Precinct 111,38.8763635712943,-76.9667291306773,,2018/06/12 21:55:22+00,2018/06/13 00:19:06+00,440980716,18095524-01
-77.0389800345708,38.9025309983744,18095529,2018/06/12 23:04:32+00,MIDNIGHT,OTHERS,THEFT/OTHER,1700 - 1709 BLOCK OF K STREET NW,396619.04,137186.12,2,2B,2,207,Cluster 6,010700 1,010700,Precinct 17,38.9025232111842,-77.0389777387413,GOLDEN TRIANGLE,2018/06/12 17:00:31+00,2018/06/12 23:02:54+00,440980717,18095529-01
-76.9656141108728,38.851264572883,18095532,2018/06/13 00:04:55+00,MIDNIGHT,OTHERS,BURGLARY,3030 - 3299 BLOCK OF BUENA VISTA TERRACE SE,402985,131495,8,8B,7,702,Cluster 36,007502 2,007502,Precinct 115,38.851256793306,-76.9656118410121,,2018/06/12 22:29:02+00,1970/01/01 00:00:00+00,440980718,18095532-01
-77.0425506201305,38.9155817655294,18095535,2018/06/13 00:40:38+00,MIDNIGHT,OTHERS,SEX ABUSE,1800 - 1899 BLOCK OF T STREET NW,396310,138635,2,2B,2,208,Cluster 6,004202 2,004202,Precinct 14,38.9155739758415,-77.0425483223914,,2018/06/12 22:23:46+00,1970/01/01 00:00:00+00,440980719,18095535-01
-76.92121156388,38.8854840295937,18095537,2018/06/12 23:28:08+00,MIDNIGHT,GUN,ROBBERY,5400 - 5699 BLOCK OF B STREET SE,406836,135296,7,7E,6,604,Cluster 33,009905 2,009905,Precinct 105,38.8854762414581,-76.9212093057686,,2018/06/12 22:44:18+00,1970/01/01 00:00:00+00,440980720,18095537-01
-77.021992866322,38.9204789673036,18095543,2018/06/12 23:50:52+00,MIDNIGHT,OTHERS,THEFT/OTHER,2300 2349  BLOCK OF GEORGIA AVENUE NW,398093,139178,1,1B,3,305,Cluster 3,003500 2,003500,Precinct 37,38.9204711758614,-77.0219905746853,,2018/06/12 21:10:36+00,2018/06/12 23:00:19+00,440980721,18095543-01
-77.0169262736292,38.9025261861515,18095559,2018/06/13 00:11:47+00,MIDNIGHT,OTHERS,THEFT F/AUTO,400 - 443 BLOCK OF K STREET NW,398532,137185,6,6E,1,101,Cluster 8,004702 1,004702,Precinct 1,38.9025183981397,-77.0169239846672,MOUNT VERNON TRIANGLE CID,2018/06/12 18:45:49+00,2018/06/12 23:45:54+00,440980722,18095559-01
-76.9875702388559,38.8605206312892,18095560,2018/06/13 01:16:35+00,MIDNIGHT,OTHERS,THEFT/OTHER,1400 - 1430 BLOCK OF BANGOR STREET SE,401079,132522,8,8A,7,701,Cluster 28,007504 1,007504,Precinct 114,38.8605128506595,-76.9875679615956,,2018/06/12 23:49:31+00,2018/06/13 00:17:57+00,440980723,18095560-01
-77.021920575725,38.9103896453387,18095569,2018/06/13 00:45:23+00,MIDNIGHT,OTHERS,THEFT/OTHER,1500 - 1599 BLOCK OF 7TH STREET NW,398099,138058,6,6E,3,308,Cluster 7,004901 2,004901,Precinct 18,38.9103818559276,-77.0219182847275,,2018/06/13 00:10:54+00,2018/06/13 00:12:36+00,440980724,18095569-01
-77.0341867625353,38.955157982531,18095577,2018/06/13 02:21:23+00,MIDNIGHT,OTHERS,ROBBERY,5246  - 5499 BLOCK OF COLORADO AVENUE NW,397037,143028,4,4C,4,403,Cluster 18,002001 2,002001,Precinct 53,38.9551501845573,-77.0341844649778,,2018/06/12 23:47:13+00,2018/06/13 02:13:06+00,440980725,18095577-01
-77.0283860285357,38.9323055095553,18095604,2018/06/13 02:27:58+00,MIDNIGHT,KNIFE,ROBBERY,3400 - 3499 BLOCK OF 11TH STREET NW,397539,140491,1,1A,3,302,Cluster 2,002900 1,002900,Precinct 42,38.9322977159682,-77.0283837341845,,2018/06/13 00:45:25+00,2018/06/13 01:20:21+00,440980726,18095604-01
-76.9835493150684,38.9096878933495,18095605,2018/06/13 00:00:00+00,MIDNIGHT,GUN,HOMICIDE,1200 - 1299 BLOCK OF MOUNT OLIVET ROAD NE,401427,137980,5,5D,5,506,Cluster 23,008804 2,008804,Precinct 78,38.9096801026496,-76.9835470360643,,2018/06/13 00:52:26+00,1970/01/01 00:00:00+00,440980727,18095605-01
-76.9705280765955,38.919702605119,18095613,2018/06/13 03:16:14+00,MIDNIGHT,OTHERS,THEFT/OTHER,2117 - 2299 BLOCK OF BLADENSBURG ROAD NE,402556,139092,5,5C,5,503,Cluster 24,011100 1,011100,Precinct 71,38.9196948119148,-76.9705258010363,,2018/06/13 02:21:52+00,1970/01/01 00:00:00+00,440980728,18095613-01
-76.9406742697405,38.9047103896943,18095623,2018/06/13 04:22:50+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,1100 - 1299 BLOCK OF KENILWORTH AVENUE NE,405146,137429,7,7D,6,602,Cluster 31,009601 1,009601,Precinct 92,38.9047025984025,-76.9406720043958,,2018/06/13 01:15:16+00,2018/06/13 01:45:07+00,440980729,18095623-01
-76.9624559456045,38.8542994423231,18095627,2018/06/13 04:22:19+00,MIDNIGHT,OTHERS,THEFT F/AUTO,2800 - 2899 BLOCK OF 31ST STREET SE,403259,131832,7,7B,6,606,Cluster 35,007603 4,007603,Precinct 113,38.8542916620159,-76.9624536765428,,2018/06/13 03:35:25+00,1970/01/01 00:00:00+00,440980730,18095627-01
-77.039474926599,38.9210148687953,18095631,2018/06/13 06:13:33+00,MIDNIGHT,OTHERS,THEFT F/AUTO,1700 - 1719 BLOCK OF KALORAMA ROAD NW,396577,139238,1,1C,3,303,Cluster 1,003800 1,003800,Precinct 24,38.9210070778975,-77.0394726294853,,2018/06/13 05:32:14+00,2018/06/13 06:00:27+00,440980731,18095631-01
-77.0000483980997,38.9025184042394,18095637,2018/06/13 07:04:51+00,DAY,OTHERS,MOTOR VEHICLE THEFT,400 - 499 BLOCK OF K STREET NE,399996,137184,6,6C,5,501,Cluster 25,010600 2,010600,Precinct 83,38.9025106156,-77.0000461143943,,2018/06/13 06:09:39+00,1970/01/01 00:00:00+00,440980732,18095637-01
-76.9606190334371,38.8844319658482,18095645,2018/06/27 15:18:44+00,EVENING,OTHERS,THEFT/OTHER,3200 - 3299 BLOCK OF D STREET SE,403417,135177,7,7B,6,603,Cluster 32,007708 2,007708,Precinct 132,38.8844241793897,-76.9606167631145,,2018/06/10 18:18:35+00,2018/06/10 22:52:01+00,440980733,18095645-01
-77.0549685487631,38.8997759385983,18095657,2018/06/14 09:22:42+00,DAY,OTHERS,BURGLARY,2500 - 2699 BLOCK OF VIRGINIA AVENUE NW,395232,136881,2,2A,2,207,Cluster 5,005600 2,005600,Precinct 3,38.8997681525603,-77.0549662481239,,2018/06/13 01:26:04+00,2018/06/13 01:36:12+00,440980734,18095657-01
-77.0134444808991,38.9017068782943,18095660,2018/06/13 08:25:36+00,DAY,OTHERS,THEFT F/AUTO,900 - 949 BLOCK OF NEW JERSEY AVENUE NW,398834,137094,6,6E,1,102,Cluster 8,004702 1,004702,Precinct 1,38.9016990903179,-77.0134421930715,MOUNT VERNON TRIANGLE CID,2018/06/12 20:45:54+00,2018/06/13 07:40:06+00,440980735,18095660-01
-77.0020537774746,38.8817901203028,18095661,2018/06/13 12:36:20+00,DAY,OTHERS,BURGLARY,600 - 649 BLOCK OF 3RD STREET SE,399822,134883,6,6B,1,106,Cluster 26,006500 2,006500,Precinct 130,38.8817823359195,-77.0020514944091,,2018/06/12 21:30:31+00,2018/06/13 06:00:54+00,440980736,18095661-01
-77.033246514758,38.9181161250103,18095668,2018/06/13 08:50:59+00,DAY,OTHERS,THEFT F/AUTO,1400 - 1499 BLOCK OF V STREET NW,397117,138916,1,1B,3,301,Cluster 3,004300 1,004300,Precinct 22,38.9181083344642,-77.0332442197611,,2018/06/11 17:00:51+00,1970/01/01 00:00:00+00,440980737,18095668-01
-76.9911213398975,38.934020198046,18095672,2018/06/13 08:38:36+00,DAY,OTHERS,THEFT/OTHER,3600 - 3699 BLOCK OF 12TH STREET NE,400770,140681,5,5B,5,504,Cluster 22,009301 2,009301,Precinct 68,38.934012402723,-76.9911190570487,,2018/06/13 08:12:17+00,1970/01/01 00:00:00+00,440980738,18095672-01
-76.9808993901635,38.9025168431777,18095678,2018/06/13 09:25:16+00,DAY,OTHERS,MOTOR VEHICLE THEFT,1605 - 1637 BLOCK OF K STREET NE,401657,137184,5,5D,5,507,Cluster 23,008903 1,008903,Precinct 79,38.9025090538253,-76.9808971124223,,2018/06/12 21:30:11+00,1970/01/01 00:00:00+00,440980739,18095678-01
-76.9485675702869,38.8623386751824,18095686,2018/06/13 11:05:04+00,DAY,OTHERS,THEFT F/AUTO,3900 - 3917 BLOCK OF SOUTHERN AVENUE SE,404464,132725,7,7B,6,606,Cluster 35,,,Precinct 110,38.8623308927358,-76.9485653050616,,2018/06/13 08:28:58+00,2018/06/13 09:21:25+00,440980740,18095686-01
